DateTime,weather main,weather description,Temperature (C),feels like,Pressure (hPa),sea level pressure,grnd level pressure,Humidity %,wind speed (m/s),wind deg,wind gust,cloudiness (%),rain volumn (mm),snow volumn (mm),icon id
2024-04-25 00:00:00,Clouds,scattered clouds,23.96000000000004,24.600000000000023,1005,,,80,1.85,163,3.67,26,,,03n
2024-04-25 01:00:00,Clouds,scattered clouds,23.96000000000004,24.78000000000003,1005,,,87,0.54,248,2.3,45,,,03n
2024-04-25 02:00:00,Rain,moderate rain,24.96000000000004,24.96000000000004,1004,,,88,0.97,91,1.36,7,3.55,,10n
2024-04-25 03:00:00,Rain,light rain,24.96000000000004,24.96000000000004,1004,,,88,0.99,102,1.43,10,0.56,,10n
2024-04-25 04:00:00,Clouds,few clouds,23.96000000000004,24.81,1004,,,88,1.08,105,1.51,13,,,02n
2024-04-25 05:00:00,Clouds,few clouds,23.96000000000004,24.860000000000014,1004,,,90,0.88,117,1.85,15,,,02n
2024-04-25 06:00:00,Clouds,few clouds,23.96000000000004,24.860000000000014,1005,,,90,0.53,111,2.15,15,,,02d
2024-04-25 07:00:00,Clouds,broken clouds,23.96000000000004,24.760000000000048,1006,,,86,0.72,172,1.68,67,,,04d
2024-04-25 08:00:00,Clouds,broken clouds,24.96000000000004,24.96000000000004,1006,,,81,1.0,156,1.91,72,,,04d
2024-04-25 09:00:00,Clouds,broken clouds,26.96000000000004,30.55000000000001,1007,,,77,1.34,174,2.42,71,,,04d
2024-04-25 10:00:00,Clouds,broken clouds,27.96000000000004,32.200000000000045,1006,,,73,2.19,156,3.24,78,,,04d
2024-04-25 11:00:00,Clouds,broken clouds,28.96000000000004,33.02000000000004,1005,,,66,2.76,154,3.48,72,,,04d
2024-04-25 12:00:00,Clouds,broken clouds,29.96000000000004,33.76000000000005,1004,,,60,2.55,157,3.41,66,,,04d
2024-04-25 13:00:00,Clouds,scattered clouds,31.96000000000004,34.39000000000004,1002,,,47,3.8,170,4.32,25,,,03d
2024-04-25 14:00:00,Clear,clear sky,32.96000000000004,35.73000000000002,1000,,,45,3.73,155,3.62,0,,,01d
2024-04-25 15:00:00,Clouds,few clouds,32.96000000000004,36.03000000000003,999,,,46,3.71,152,3.69,11,,,02d
2024-04-25 16:00:00,Clouds,scattered clouds,32.96000000000004,39.08000000000004,999,,,55,4.9,138,6.27,28,,,03d
2024-04-25 17:00:00,Clouds,few clouds,31.96000000000004,38.96000000000004,999,,,62,5.9,142,7.49,21,,,02d
