DateTime,weather main,weather description,Temperature (C),feels like,Pressure (hPa),sea level pressure,grnd level pressure,Humidity %,wind speed (m/s),wind deg,wind gust,cloudiness (%),rain volumn (mm),snow volumn (mm),icon id
2024-04-25 00:00:00,Clouds,few clouds,24.04000000000002,25.0,1005,,,92,3.14,166,8.09,18,,,02n
2024-04-25 01:00:00,Clouds,scattered clouds,24.04000000000002,25.03000000000003,1005,,,93,2.84,148,6.65,35,,,03n
2024-04-25 02:00:00,Rain,moderate rain,25.04000000000002,25.04000000000002,1004,,,91,3.01,132,5.27,14,1.89,,10n
2024-04-25 03:00:00,Clouds,few clouds,25.04000000000002,25.04000000000002,1004,,,89,2.44,132,4.97,14,,,02n
2024-04-25 04:00:00,Clouds,scattered clouds,24.04000000000002,24.900000000000038,1004,,,88,2.15,138,5.03,26,0.1,,03n
2024-04-25 05:00:00,Clouds,scattered clouds,24.04000000000002,24.920000000000016,1005,,,89,1.84,143,4.87,37,,,03n
2024-04-25 06:00:00,Clouds,scattered clouds,24.04000000000002,24.920000000000016,1005,,,89,1.59,151,5.24,46,,,03d
2024-04-25 07:00:00,Clouds,broken clouds,24.04000000000002,24.920000000000016,1006,,,89,2.25,172,5.35,83,,,04d
2024-04-25 08:00:00,Clouds,overcast clouds,25.04000000000002,25.04000000000002,1007,,,89,2.86,180,5.83,100,,,04d
2024-04-25 09:00:00,Clouds,overcast clouds,27.04000000000002,32.18000000000001,1007,,,86,3.0,179,5.97,99,,,04d
2024-04-25 10:00:00,Clouds,overcast clouds,28.04000000000002,34.30000000000001,1006,,,82,4.17,168,6.04,99,,,04d
2024-04-25 11:00:00,Clouds,overcast clouds,29.04000000000002,36.04000000000002,1005,,,79,4.84,159,6.19,99,,,04d
2024-04-25 12:00:00,Clouds,overcast clouds,30.04000000000002,37.04000000000002,1005,,,72,4.73,166,5.77,98,,,04d
2024-04-25 13:00:00,Clouds,broken clouds,32.04000000000002,37.910000000000025,1003,,,58,5.02,159,6.03,78,,,04d
2024-04-25 14:00:00,Clouds,scattered clouds,33.04000000000002,39.670000000000016,1001,,,56,5.75,148,5.62,37,,,03d
2024-04-25 15:00:00,Clouds,few clouds,33.04000000000002,40.04000000000002,1000,,,57,6.67,155,6.79,23,,,02d
2024-04-25 16:00:00,Clouds,scattered clouds,33.04000000000002,40.04000000000002,999,,,62,6.71,147,7.6,25,,,03d
2024-04-25 17:00:00,Clouds,few clouds,32.04000000000002,39.04000000000002,999,,,67,6.11,143,7.58,19,,,02d
2024-04-25 18:00:00,Clouds,few clouds,31.04000000000002,38.04000000000002,1000,,,75,4.73,135,7.91,15,,,02d
2024-04-25 19:00:00,Clouds,few clouds,30.04000000000002,37.04000000000002,1001,,,81,4.12,146,6.97,14,,,02n
2024-04-25 20:00:00,Rain,light rain,29.04000000000002,36.04000000000002,1001,,,85,4.2,141,6.81,0,0.21,,10n
2024-04-25 21:00:00,Clear,clear sky,28.04000000000002,35.04000000000002,1002,,,90,4.16,142,7.78,0,,,01n
2024-04-25 22:00:00,Clear,clear sky,28.04000000000002,35.04000000000002,1003,,,92,4.08,140,8.67,0,,,01n
2024-04-25 23:00:00,Clear,clear sky,27.04000000000002,33.610000000000014,1003,,,94,4.09,141,9.58,8,,,01n
2024-04-26 00:00:00,Clouds,few clouds,27.04000000000002,33.610000000000014,1002,,,94,4.23,140,10.0,12,,,02n
2024-04-26 01:00:00,Clouds,few clouds,27.04000000000002,33.99000000000001,1002,,,96,3.91,136,9.22,24,,,02n
2024-04-26 02:00:00,Clouds,scattered clouds,27.04000000000002,33.79000000000002,1001,,,95,2.78,115,6.45,45,,,03n
2024-04-26 03:00:00,Clouds,scattered clouds,27.04000000000002,33.99000000000001,1001,,,96,2.5,107,4.9,42,,,03n
2024-04-26 04:00:00,Clouds,scattered clouds,27.04000000000002,33.99000000000001,1001,,,96,2.26,88,3.73,43,,,03n
