DateTime,weather main,weather description,Temperature (C),feels like,Pressure (hPa),sea level pressure,grnd level pressure,Humidity %,wind speed (m/s),wind deg,wind gust,cloudiness (%),rain volumn (mm),snow volumn (mm),icon id
2024-10-19 09:00:00,Clouds,few clouds,28.960000000000036,33.24000000000001,1015,,,67,1.66,110,2.18,13,,,02d
2024-10-19 10:00:00,Clouds,few clouds,28.960000000000036,31.560000000000002,1014,,,59,1.99,118,2.58,16,,,02d
2024-10-19 11:00:00,Clouds,few clouds,29.960000000000036,32.160000000000025,1013,,,53,2.22,123,2.72,22,,,02d
2024-10-19 12:00:00,Clouds,scattered clouds,30.960000000000036,33.29000000000002,1012,,,50,2.26,125,2.76,32,,,03d
2024-10-19 13:00:00,Clouds,scattered clouds,31.960000000000036,35.210000000000036,1011,,,50,2.85,134,3.3,33,,,03d
2024-10-19 14:00:00,Clouds,overcast clouds,31.960000000000036,36.72000000000003,1010,,,55,3.29,151,3.68,97,,,04d
2024-10-19 15:00:00,Clouds,overcast clouds,30.960000000000036,35.68000000000001,1010,,,59,3.73,153,4.87,100,,,04d
2024-10-19 16:00:00,Clouds,overcast clouds,28.960000000000036,31.960000000000036,1010,,,61,3.79,145,5.22,98,,,04d
2024-10-19 17:00:00,Clouds,overcast clouds,28.960000000000036,32.370000000000005,1010,,,63,3.95,142,6.27,89,,,04d
2024-10-19 18:00:00,Clouds,broken clouds,28.960000000000036,33.700000000000045,1011,,,69,4.45,146,7.98,75,,,04n
2024-10-19 19:00:00,Clouds,broken clouds,27.960000000000036,32.200000000000045,1013,,,73,4.23,144,7.83,68,,,04n
2024-10-19 20:00:00,Clouds,scattered clouds,27.960000000000036,33.0,1014,,,77,4.03,145,7.82,27,,,03n
2024-10-19 21:00:00,Clouds,scattered clouds,26.960000000000036,30.850000000000023,1014,,,79,3.53,148,7.94,37,,,03n
2024-10-19 22:00:00,Rain,light rain,26.960000000000036,31.310000000000002,1015,,,82,2.91,143,7.44,34,0.22,,10n
2024-10-19 23:00:00,Clouds,scattered clouds,26.960000000000036,32.110000000000014,1015,,,87,2.12,147,6.19,33,,,03n
2024-10-20 00:00:00,Clouds,scattered clouds,26.960000000000036,31.950000000000045,1014,,,86,2.01,140,5.06,37,,,03n
2024-10-20 01:00:00,Clouds,broken clouds,25.960000000000036,29.420000000000016,1014,,,88,2.04,158,3.34,60,,,04n
2024-10-20 02:00:00,Clouds,overcast clouds,24.960000000000036,24.960000000000036,1013,,,88,1.97,140,3.16,100,,,04n
2024-10-20 03:00:00,Clouds,overcast clouds,24.960000000000036,24.960000000000036,1013,,,87,1.91,118,3.43,98,,,04n
2024-10-20 04:00:00,Clouds,overcast clouds,24.960000000000036,24.960000000000036,1013,,,88,1.85,101,3.03,92,,,04n
2024-10-20 05:00:00,Clouds,broken clouds,24.960000000000036,24.960000000000036,1014,,,90,1.75,87,2.36,83,,,04n
2024-10-20 06:00:00,Clouds,broken clouds,24.960000000000036,24.960000000000036,1015,,,91,1.39,81,1.97,75,,,04d
2024-10-20 07:00:00,Clouds,scattered clouds,24.960000000000036,24.960000000000036,1016,,,84,1.04,80,2.01,49,,,03d
2024-10-20 08:00:00,Clouds,broken clouds,25.960000000000036,28.210000000000036,1017,,,75,1.04,80,2.29,63,,,04d
2024-10-20 09:00:00,Clouds,scattered clouds,27.960000000000036,30.760000000000048,1017,,,65,1.56,96,3.35,45,,,03d
2024-10-20 10:00:00,Clouds,scattered clouds,29.960000000000036,32.59000000000003,1017,,,55,2.42,107,4.53,34,,,03d
2024-10-20 11:00:00,Clouds,scattered clouds,29.960000000000036,31.55000000000001,1016,,,50,3.19,121,4.91,29,,,03d
2024-10-20 12:00:00,Clouds,scattered clouds,30.960000000000036,32.60000000000002,1015,,,47,3.58,124,5.1,31,,,03d
2024-10-20 13:00:00,Clouds,scattered clouds,30.960000000000036,31.78000000000003,1013,,,43,3.79,123,5.08,45,,,03d
2024-10-20 14:00:00,Clouds,overcast clouds,31.960000000000036,33.39000000000004,1013,,,43,5.11,131,5.35,96,,,04d
2024-10-20 15:00:00,Clouds,overcast clouds,31.960000000000036,34.129999999999995,1012,,,46,5.09,136,6.09,97,,,04d
2024-10-20 16:00:00,Clouds,broken clouds,31.960000000000036,34.129999999999995,1013,,,46,5.06,134,5.52,79,,,04d
2024-10-20 17:00:00,Rain,light rain,31.960000000000036,37.05000000000001,1013,,,56,5.03,137,7.37,61,0.9,,10d
